Country Name,Country Code,death rate
Trinidad and Tobago,TTO,7.969636364
Tunisia,TUN,6.238818182
Turkey,TUR,5.545090909
Tuvalu,TUV,#DIV/0!
Tanzania,TZA,8.050363636
Uganda,UGA,8.363818182
Ukraine,UKR,14.90909091
Uruguay,URY,9.390272727
United States,USA,8.253909091
Uzbekistan,UZB,4.889404844
St. Vincent and the Grenadines,VCT,8.414636364
"Venezuela, RB",VEN,6.085727273
British Virgin Islands,VGB,#DIV/0!
Virgin Islands (U.S.),VIR,7.090909091
Vietnam,VNM,6.002181818
Vanuatu,VUT,5.461818182
Samoa,WSM,5.611545455
Kosovo,XKX,7.009090909
"Yemen, Rep.",YEM,6.089909091
South Africa,ZAF,10.83127273
Zambia,ZMB,8.485363636
Zimbabwe,ZWE,10.956
